sentence	label	e1	e2
Chlorotrianisene may interact with antidepressants, aspirin, barbiturates, bromocriptine, calcium supplements, <e1> corticosteroids </e1> , corticotropin, cyclosporine, dantrolene, nicotine, somatropin, <e2> tamoxifen </e2> , and warfarin.	0	corticosteroids	tamoxifen
- Phenothiazines (acetophenazine [e.g., Tindal], chlorpromazine [e.g., Thorazine], fluphenazine [e.g., Prolixin], mesoridazine [e.g., Serentil], perphenazine [e.g., Trilafon], prochlorperazine [e.g., Compazine], promazine [e.g., Sparine], promethazine [e.g., Phenergan], thioridazine [e.g., <e1> Mellaril </e1> ], trifluoperazine [e.g., Stelazine], triflupromazine [e.g., Vesprin], <e2> trimeprazine </e2> [e.g., Temaril]) or	0	Mellaril	trimeprazine
Agents that are CYP3A4 inhibitors that have been found, or are expected, to increase plasma levels of EQUETROTM are the following: Acetazolamide, azole antifungals, <e1> cimetidine </e1> , clarithromycin(1), dalfopristin, danazol, delavirdine, diltiazem, erythromycin(1), fluoxetine, fluvoxamine, grapefruit juice, isoniazid, itraconazole, ketoconazole, loratadine, nefazodone, niacinamide, nicotinamide, protease inhibitors, propoxyphene, quinine, quinupristin, troleandomycin, valproate(1), verapamil, <e2> zileuton </e2> .	0	cimetidine	zileuton
Coadministration with compounds that are potent inducers of CYP3A4 (eg, <e1> phenobarbital </e1> , <e2> phenytoin </e2> , dexamethasone, carbamazepine) may result in decreased plasma levels of saquinavir.	0	phenobarbital	phenytoin
Agents that have been found, or are expected to have decreased plasma levels in the presence of <e1> EQUETROTM </e1> due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipramine, diazepam, dicumarol, doxycycline, ethosuximide, <e2> felbamate </e2> , felodipine, glucocorticoids, haloperidol, itraconazole, lamotrigine, levothyroxine, lorazepam, methadone, midazolam, mirtazapine, nortriptyline, olanzapine, oral contraceptives(3), oxcarbazepine, Phenytoin(4), praziquantel, protease inhibitors, quetiapine, risperidone, theophylline, topiramate, tiagabine, tramadol, triazolam, valproate, warfarin(5) , ziprasidone, and zonisamide.	1	EQUETROTM	felbamate
<e1> Beta-blockers </e1> , clonidine, lithium salts, and alcohol may either potentiate or weaken the blood-glucose-lowering effect of <e2> insulin </e2> .	1	Beta-blockers	insulin
However, the systemic administration of some <e1> quinolones </e1> has been shown to elevate plasma concentrations of theophylline, interfere with the metabolism of caffeine, and enhance the effects of the oral anticoagulant <e2> warfarin </e2> and its derivatives, and has been associated with transient elevations in serum creatinine in patients receiving systemic cyclosporine concomitantly.	1	quinolones	warfarin
Agents that have been found, or are expected to have decreased plasma levels in the presence of <e1> EQUETROTM </e1> due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipramine, diazepam, dicumarol, doxycycline, ethosuximide, felbamate, felodipine, glucocorticoids, haloperidol, itraconazole, lamotrigine, levothyroxine, lorazepam, methadone, midazolam, mirtazapine, nortriptyline, olanzapine, oral contraceptives(3), oxcarbazepine, Phenytoin(4), <e2> praziquantel </e2> , protease inhibitors, quetiapine, risperidone, theophylline, topiramate, tiagabine, tramadol, triazolam, valproate, warfarin(5) , ziprasidone, and zonisamide.	1	EQUETROTM	praziquantel
ERGAMISOL ( <e1> levamisole hydrochloride </e1> ) has been reported to produce ANTABUSE-like side effects when given concomitantly with <e2> alcohol </e2> .	1	levamisole hydrochloride	alcohol
Therefore, co-administration of <e1> tricyclic antidepressants </e1> with other drugs that are metabolized by this isoenzyme, including other antidepressants, phenothiazines, carbamazepine, and Type 1C antiarrhythmics (eg, <e2> propafenone </e2> , flecainide, and encainide), or that inhibit this enzyme (eg, quinidine), should be approached with caution.	0	tricyclic antidepressants	propafenone
