sentence	label	e1	e2
The antimicrobial effect of a <e1> benzoxazinorifamycin </e1> , KRM-1648, either alone or in combination with <e2> ofloxacin </e2> , was evaluated in vitro against two type strains and six clinical isolates of Mycobacterium ulcerans.	0	benzoxazinorifamycin	ofloxacin
<e1> Fluconazole </e1> , an inhibitor of P450 2C9, decreased active metabolite concentration and increased <e2> losartan </e2> concentration.	1	Fluconazole	losartan
Agents that are CYP inducers that have been found, or are expected, to decrease plasma levels of <e1> EQUETROTM </e1> are the following: Cisplatin, <e2> doxorubicin HCL </e2> , felbamate, rifampin, phenobarbital, Phenytoin(2), primidone, methsuximide, and theophylline Thus, if a patient has been titrated to a stable dosage on EQUETROTM, and then begins a course of treatment with one of these CYP3A4 inducers, it is reasonable to expect that a dose increase for EQUETROTM may be necessary.	1	EQUETROTM	doxorubicin HCL
Digoxin: When <e1> Starlix </e1> 120 mg before meals was administered in combination with a single 1-mg dose of <e2> digoxin </e2> to healthy volunteers, there were no clinically relevant changes in the pharmacokinetics of either agent.	0	Starlix	digoxin
Metformin: When <e1> Starlix </e1> 120 mg three times daily before meals was administered in combination with <e2> metformin </e2> 500 mg three times daily to patients with Type 2 diabetes, there were no clinically relevant changes in the pharmacokinetics of either agent.	0	Starlix	metformin
<e1> Cytokines </e1> (interferon, <e2> interleukin </e2> ): Cytokines have been reported to induce both hyperthyroidism and hypothyroidism.	0	Cytokines	interleukin
<e1> Antifungals </e1> : Itraconazole <e2> Ketoconazole </e2>	0	Antifungals	Ketoconazole
<e1> Antihypertensive Medication </e1> s and <e2> Vasodilators </e2> : The following adverse events were experienced more commonly in patients receiving concomitant antihypertensive medications or vasodilators (n = 94) compared to patients not receiving these concomitant drugs (n = 456): hypotension 10% vs 4%, myocardial infarction 3% vs 1%, serious pneumonia 5% vs 3%, serious falls 9% vs 3%, and bone and joint injuries 6% vs 2%.	0	Antihypertensive Medication	Vasodilators
<e1> Cholestyramine </e1> resin may delay or reduce the absorption of concomitant oral medication such as phenylbutazone, warfarin, thiazide diuretics (acidic) or propranolol (basic), as well as tetracycline penicillin G, phenobarbital, thyroid and <e2> thyroxine </e2> preparations, estrogens and progestins, and digitalis.	1	Cholestyramine	thyroxine
Therefore, co-administration of tricyclic antidepressants with other drugs that are metabolized by this isoenzyme, including other antidepressants, phenothiazines, carbamazepine, and <e1> Type 1C antiarrhythmics </e1> (eg, propafenone, <e2> flecainide </e2> , and encainide), or that inhibit this enzyme (eg, quinidine), should be approached with caution.	0	Type 1C antiarrhythmics	flecainide
Concurrent use of <e1> tetracycline </e1> may render oral <e2> contraceptives </e2> less effective.	1	tetracycline	contraceptives
Multivalent Cation-Containing Products: Concurrent administration of a <e1> quinolone </e1> , including ciprofloxacin, with multivalent cation-containing products such as <e2> magnesium </e2> or aluminum antacids, sucralfate, VIDEX chewable/buffered tablets or pediatric powder, or products containing calcium, iron, or zinc may substantially decrease the absorption of ciprofloxacin, resulting in serum and urine levels considerably lower than desired.	1	quinolone	magnesium
No depressant effect on blood levels in humans was noted when colestipol hydrochloride was administered with any of the following drugs: <e1> aspirin </e1> , <e2> clindamycin </e2> , clofibrate, methyldopa, nicotinic acid (niacin), tolbutamide, phenytoin or warfarin.	0	aspirin	clindamycin
Flucytosine: while a synergistic relationship with <e1> amphotericin B </e1> has been reported, concomitant use may increase the toxicity of <e2> flucytosine </e2> by possibly increasing its cellular uptake and/or impairing its renal excretion.	1	amphotericin B	flucytosine
Vasoconstrictors: D.H.E. 45 ( <e1> dihydroergotamine mesylate </e1> ) Injection, USP should not be used with <e2> peripheral vasoconstrictors </e2> because the combination may cause synergistic elevation of blood pressure.	1	dihydroergotamine mesylate	peripheral vasoconstrictors
Coadministration of <e1> phenytoin </e1> with 40 mg <e2> SULAR </e2> tablets in epileptic patients lowered the nisoldipine plasma concentrations to undetectable levels.	1	phenytoin	SULAR
Most of the above effects concerning <e1> diuretics </e1> have been attributed, at least in part, to mechanisms involving inhibition of prostaglandin synthesis by <e2> INDOCIN </e2> .	1	diuretics	INDOCIN
Pharmacokinetic interactions between nisoldipine and beta-blockers ( <e1> atenolol </e1> , <e2> propranolol </e2> ) were variable and not significant.	0	atenolol	propranolol
The concurrent use of <e1> Robinul </e1> Injection with other <e2> anticholinergics </e2> or medications with anticholinergic activity, such as phenothiazines, antiparkinson drugs, or tricyclic antidepressants, may intensify the antimuscarinic effects and may result in an increase in anticholinergic side effects.	1	Robinul	anticholinergics
<e1> Tagamet </e1> , apparently through an effect on certain microsomal enzyme systems, has been reported to reduce the hepatic metabolism of warfarin-type anticoagulants, phenytoin, propranolol, nifedipine, <e2> chlordiazepoxide </e2> , diazepam, certain tricyclic antidepressants, lidocaine, theophylline and metronidazole, thereby delaying elimination and increasing blood levels of these drugs.	1	Tagamet	chlordiazepoxide
However, other published reports describe modest elevations (less than two-fold) of <e1> clozapine </e1> and metabolite concentrations when clozapine was taken with <e2> paroxetine </e2> , fluoxetine, and sertraline.	0	clozapine	paroxetine
Specific and aspecific treatments of magnesium depletion are tricky using for example <e1> magnesium sparing diuretics </e1> , pharmacological doses of vitamin B6, physiological doses of vitamin D and of <e2> selenium </e2> .	0	magnesium sparing diuretics	selenium
In vivo interaction studies in humans have demonstrated that digoxin and warfarin do not affect the PK properties of <e1> anagrelide </e1> , nor does anagrelide affect the PK properties of <e2> digoxin </e2> or warfarin.	0	anagrelide	digoxin
Aspirin: Concomitant administration of <e1> diclofenac </e1> and <e2> aspirin </e2> is not recommended because diclofenac is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations, peak plasma levels, and AUC values.	0	diclofenac	aspirin
Theophylline <e1> VIOXX </e1> 12.5, 25, and 50 mg administered once daily for 7 days increased plasma <e2> theophylline </e2> concentrations (AUC(0- )) by 38 to 60% in healthy subjects administered a single 300-mg dose of theophylline.	1	VIOXX	theophylline
In patients receiving nonselective monoamine oxidase inhibitors ( <e1> MAOIs </e1> ) (e.g., selegiline hydrochloride) in combination with serotoninergic agents (e.g., fluoxetine, <e2> fluvoxamine </e2> , paroxetine, sertraline, venlafaxine), there have been reports of serious, sometimes fatal, reactions.	1	MAOIs	fluvoxamine
Macrolide Antibiotics (e. g. <e1> erythromycin </e1> and troleandomycin): Agents of the ergot alkaloid class, of which D.H.E. 45 ( <e2> dihydroergotamine mesylate </e2> ) Injection, USP is a member, have been shown to interact with antibiotics of the macrolide class, resulting in increased plasma levels of unchanged alkaloids and peripheral vasoconstriction.	0	erythromycin	dihydroergotamine mesylate
In some patients, the administration of <e1> INDOCIN </e1> can reduce the diuretic, natriuretic, and antihypertensive effects of <e2> loop diuretics </e2> .	1	INDOCIN	loop diuretics
Patients treated with <e1> acebutolol </e1> plus <e2> catecholamine depletors </e2> should, therefore, be observed closely for evidence of marked bradycardia or hypotension which may present as vertigo, syncope/presyncope, or orthostatic changes in blood pressure without compensatory tachycardia.	0	acebutolol	catecholamine depletors
<e1> Cholestyramine </e1> resin may delay or reduce the absorption of concomitant oral medication such as phenylbutazone, warfarin, <e2> thiazide diuretics </e2> (acidic) or propranolol (basic), as well as tetracycline penicillin G, phenobarbital, thyroid and thyroxine preparations, estrogens and progestins, and digitalis.	1	Cholestyramine	thiazide diuretics
(Concurrent use with <e1> thiazide diuretics </e1> may enhance the possibility of <e2> digitalis </e2> toxicity associated with hypokalemia.)	1	thiazide diuretics	digitalis
<e1> ADL-8-2698 </e1> is a novel <e2> peripherally restricted opioid antagonist </e2> that may selectively prevent opioid-induced gastrointestinal effects without reversing analgesia.	0	ADL-8-2698	peripherally restricted opioid antagonist
