sentence	label	e1	e2
Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, <e1> Trileptal </e1> , Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromid-S), <e2> cyclosporine </e2> (Neoral, Sandimmune), HIV drugs classified as protease inhibitors (Agenerase, Crixivan, Fortovase, Invirase, Kaletra, Norvir, Viracept), morphine (Astramorph, Kadian, MS Contin), phenylbutazone, prednisolone (Prelone), rifadin (rifampin), St. Johns wort, temazepam, theophylline (Theo-Dur), and vitamin C.	0	Trileptal	cyclosporine
Elevated cyclosporine serum levels have been reported with the concomitant use of <e1> quinolones </e1> and <e2> cyclosporine </e2> .	1	quinolones	cyclosporine
Caution should be used when administering or taking <e1> TARCEVA </e1> with ketoconazole and other strong CYP3A4 inhibitors such as, but not limited to, atazanavir, clarithromycin, indinavir, itraconazole, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, <e2> troleandomycin </e2> (TAO), and voriconazole .	0	TARCEVA	troleandomycin
As with other <e1> antipsychotic agents </e1> , it should be noted that HALDOL may be capable of potentiating CNS depressants such as <e2> anesthetics </e2> , opiates, and alcohol.	1	antipsychotic agents	anesthetics
<e1> Misonidazole </e1> reduced the antitumour activity of oral <e2> CCNU </e2> by dose modifying factors (DMF) of 0.58-0.71.	1	Misonidazole	CCNU
Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as <e1> NIMBEX </e1> include certain antibiotics (e. g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistemethate), magnesium salts, lithium, local anesthetics, <e2> procainamide </e2> , and quinidine.	1	NIMBEX	procainamide
Use lowest possible dose of atorvastatin with careful monitoring, or consider HMG-CoA reductase inhibitors that are not primarily metabolized by CYP3A4, such as pravastatin, fluvastatin, or <e1> rosuvastatin </e1> in combination with <e2> CRIXIVAN </e2> .	0	rosuvastatin	CRIXIVAN
Although studies designed to examine drug interactions have not been done, it was noted that corticosteroid or <e1> ACTH </e1> treatment of relapses for periods of up to 28 days has been administered to patients (N=180) receiving <e2> Betaseron </e2> .	0	ACTH	Betaseron
May interact with the following: beta-adrenergic blocking agents (these medicines may make your condition worse and prevent the <e1> adrenergic bronchodilators </e1> from working properly) and disopyramide, quinidine, phenothiazines, and <e2> procainamide </e2> (these medicines may increase the risk of heart problems).	0	adrenergic bronchodilators	procainamide
Administration of quinolones with antacids containing <e1> aluminum </e1> , <e2> magnesium </e2> , or calcium, with sucralfate, with metal cations such as iron, or with multivitamins containing iron or zinc, or with formulations containing divalent and trivalent cations such as VIDEX (didanosine) chewable/buffered tablets or the pediatric powder for oral solution, may substantially interfere with the absorption of quinolones, resulting in systemic concentrations considerably lower than desired.	0	aluminum	magnesium
