sentence	label	e1	e2	evs
Quinazoline-based alpha 1-adrenoceptor antagonists induce <e2> prostate cancer </e2> cell apoptosis via TGF-beta signalling and <e1> I kappa B alpha </e1> induction.	1	I kappa B alpha	prostate cancer	node I kappa B alpha/ik and prostate cancer has the following common neighbors: PCNA, NCOA3, CDKN1A, GJA1, TPD52
L-mimosine blocks cell proliferation via upregulation of <e1> B-cell translocation gene 2 </e1> and N-myc downstream regulated gene 1 in <e2> prostate carcinoma </e2> cells.	1	B-cell translocation gene 2	prostate carcinoma	
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of <e1> miR-96 </e1> , miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-96	BPH	node miR-96/march6 and BPH/prostate cancer has the following common neighbors: lymph node, testis, bone marrow, prostate gland, renal system
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	node PDLIM4 mRNA/pdlim4 and PC3/prostate cancer has the following common neighbors: bone marrow, urethra, PCNA, TLR4, PRKCQ
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of <e1> miR-98 </e1> , let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-98	BPH	node miR-98/irf9 and BPH/prostate cancer has the following common neighbors: HOXB13, CREBBP, CBR1, Etoposide, testis
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing <e1> MMP-2 </e1> and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-2	PC-3	node MMP-2/mmp2 and PC-3/prostate cancer has the following common neighbors: SPOCK1, lymph node, TGFB1, prostate gland, EPHB2
In keeping with our clinical data, activation of <e1> AR </e1> by dihydrotestosterone (DHT) potently activated GRP78 expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	AR	LNCaP	node AR and LNCaP/prostate cancer has the following common neighbors: CSRP1, prostate gland, bone marrow, seminal vesicle, renal system
These findings suggest that the quinazoline-based doxazosin mediates <e2> prostate cancer </e2> apoptosis by initially inducing the expression of <e1> TGF-beta1 </e1> signalling effectors and subsequently I kappa B alpha.	1	TGF-beta1	prostate cancer	node TGF-beta1/tgfb1 and prostate cancer has the following common neighbors: MMP9, urethra, RPN1, GADD45A, prostate gland
Androgen-sensitive <e2> LNCaP </e2> prostate cancer cells engineered to stably overexpress <e1> CDK6 </e1> display increased expression of the prostate-specific antigen and enhanced growth in the presence of dihydrotestosterone.	1	CDK6	LNCaP	node CDK6 and LNCaP/prostate cancer has the following common neighbors: MLH1, PDZK1IP1, TGFBR1, EZH2, VIM
<e1> TSPO </e1> expression is increased in prostatic intraepithelial neoplasia, primary <e2> prostate cancer </e2> , and metastases compared with normal prostate tissue and benign prostatic hyperplasia.	0	TSPO	prostate cancer	node TSPO and prostate cancer has the following common neighbors: bone marrow, lymph node, prostate gland, EGF, epithelium
These events result in increased accumulation of <e1> AR </e1> and thus enhanced growth of <e2> prostate cancer </e2> cells at low levels of androgen.	1	AR	prostate cancer	node AR and prostate cancer has the following common neighbors: ICAM1, seminal vesicle, urethra, testis, EGF
In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated <e1> GRP78 </e1> expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	GRP78	LNCaP	node GRP78/gpr78 and LNCaP/prostate cancer has the following common neighbors: PCNA, PARP1, RPN1, RPL36AL, GTF2A2
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing MMP-2 and <e1> MMP-9 </e1> expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-9	PC-3	node MMP-9/mmp9 and PC-3/prostate cancer has the following common neighbors: MMP7, CXCL8, TGFB1, EGR1, ITGB1
To evaluate retrospectively the effectiveness of transurethral resection of the prostate (TURP) in diagnosing <e2> prostate cancer </e2> in patients with obstructive voiding symptoms and a history of negative transrectal prostate biopsy but elevated prostate-specific antigen ( <e1> PSA </e1> ) and/or abnormal digital rectal examination (DRE).	0	PSA	prostate cancer	
These results suggest that TMS may inhibit the cell cycle through induction of p27( <e1> kip1 </e1> ), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	kip1	PC-3	node kip1/akip1 and PC-3/prostate cancer has the following common neighbors: prostate gland, urethra, bone marrow, lymph node, seminal vesicle
Up-regulated expression of <e1> AR </e1> and GRP78 expression in untreated <e2> prostate cancer </e2> predicts a less favourable outcome.	0	AR	prostate cancer	node AR and prostate cancer has the following common neighbors: urethra, CHEK2, prostate gland, PARP1, seminal vesicle
[Overexpression of <e1> human tumor metastasis-related gene TMSG-1 </e1> suppresses cell proliferation and invasion of a highly metastatic <e2> prostate cancer </e2> cell line PC-3M-1E8 in vitro].	1	human tumor metastasis-related gene TMSG-1	prostate cancer	node human tumor metastasis-related gene TMSG-1/numa1 and prostate cancer has the following common neighbors: KCTD5, IRS1, testis, lymph node, SUMO2
L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and <e1> N-myc downstream regulated gene 1 </e1> in <e2> prostate carcinoma </e2> cells.	1	N-myc downstream regulated gene 1	prostate carcinoma	node N-myc downstream regulated gene 1/t and prostate carcinoma has the following common neighbors: Paroxetine, Testosterone Propionate, Testosterone, Riluzole,
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins <e1> Bcl-XL </e1> and survivin.	0	Bcl-XL	prostate cancer	node Bcl-XL/bcl9l and prostate cancer has the following common neighbors: prostate gland, CTNNB1, EGR1, epithelium,
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and <e1> miR-183 </e1> , with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-183	BPH	
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	node PDLIM4 mRNA/pdlim4 and PC3/prostate cancer has the following common neighbors: testis, CDKN1A, GDF15, urethra, bone marrow
Increased levels of <e1> plasma haemoxygenase-1 </e1> in <e2> prostate cancer </e2> .	0	plasma haemoxygenase-1	prostate cancer	node plasma haemoxygenase-1/plaa and prostate cancer has the following common neighbors: PSMB2, testis, renal system, NQO1, FAF2
Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of <e2> prostate cancer </e2> cells by up-regulating the expression of <e1> CRABPI </e1> for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta.	1	CRABPI	prostate cancer	node CRABPI/crabp1 and prostate cancer has the following common neighbors: TMEM50A, testis, urethra, prostate gland,
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins Bcl-XL and <e1> survivin </e1> .	0	survivin	prostate cancer	node survivin/BIRC5 and prostate cancer has the following common neighbors: lymph node, MIF, SPIN1, bone marrow, MYC
In vitro and in vivo xenograft experiments in NOD/SCID mice further demonstrated that SOX2 increased the apoptosis-resistant properties of <e2> DU145 </e2> cells with decreased function of store-operated Ca(2+) entry and reduced expression of <e1> Orai1 </e1> at both mRNA and protein levels, suggesting a potential mechanism that contributes to the anti-apoptotic property of SOX2.	0	Orai1	DU145	node Orai1 and DU145/prostate cancer has the following common neighbors: prostate gland, bone marrow, epithelium,
L-mimosine enhanced expression of Btg2 and <e1> Ndrg1 </e1> , which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Ndrg1	PC-3	node Ndrg1 and PC-3/prostate cancer has the following common neighbors: CDH1, PLAU, bone marrow, prostate gland, MLH1
These results suggest that TMS may inhibit the cell cycle through induction of <e1> p27 </e1> (kip1), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	p27	PC-3	
L-mimosine enhanced expression of <e1> Btg2 </e1> and Ndrg1, which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Btg2	PC-3	node Btg2 and PC-3/prostate cancer has the following common neighbors: testis, SSBP2, MIF, bone marrow, CNOT1
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, <e1> miR-182 </e1> and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-182	BPH	
R-(+) equol and S-(-) equol inhibited motility and invasion in <e2> PC3 </e2> and DU145 cells, while the most strong effect was observed in PC3 cells by R-(+) equol, which might regulated by the activation of <e1> estrogen receptor-alpha </e1> .	1	estrogen receptor-alpha	PC3	
Ubiquitous <e1> mitochondrial creatine kinase </e1> is overexpressed in the conditioned medium and the extract of <e2> LNCaP </e2> lineaged androgen independent cell lines and facilitates prostate cancer progression.	1	mitochondrial creatine kinase	LNCaP	
Overexpression of <e1> PIM-1 </e1> is a potential biomarker in <e2> prostate carcinoma </e2> .	0	PIM-1	prostate carcinoma	
