sentence	label	e1	e2
Antacids containing aluminum hydroxide and <e1> magnesium hydroxide </e1> reduce the oral absorption of <e2> enoxacin </e2> by 75%.	1	magnesium hydroxide	enoxacin
Although specific studies have not been performed, coadministration with drugs that are mainly metabolized by CYP3A4 (eg, calcium channel blockers, dapsone, <e1> disopyramide </e1> , quinine, amiodarone, <e2> quinidine </e2> , warfarin, tacrolimus, cyclosporine, ergot derivatives, pimozide, carbamazepine, fentanyl, alfentanyl, alprazolam, and triazolam) may have elevated plasma concentrations when coadministered with saquinavir;	0	disopyramide	quinidine
Cyclosporine, Digoxin, Methotrexate <e1> Lodine </e1> , like other NSAIDs, through effects on renal prostaglandins, may cause changes in the elimination of these drugs leading to elevated serum levels of cyclosporine, <e2> digoxin </e2> , methotrexate, and increased toxicity.	1	Lodine	digoxin
Binding to Serum Proteins: The following agents may either inhibit <e1> levothyroxine sodium </e1> binding to serum proteins or alter the concentrations of serum binding proteins: androgens and related anabolic hormones, asparaginase, clofibrate, estrogens and estrogen-containing compounds, 5-fluorouracil, furosemide, glucocorticoids, meclofenamic acid, mefenamic acid, methadone, <e2> perphenazine </e2> , phenylbutazone, phenytoin, salicylates, tamoxifen.	1	levothyroxine sodium	perphenazine
As with other <e1> antipsychotic agents </e1> , it should be noted that HALDOL may be capable of potentiating CNS depressants such as anesthetics, <e2> opiates </e2> , and alcohol.	1	antipsychotic agents	opiates
Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as <e1> NUROMAX </e1> include certain antibiotics (e. g., aminoglycosides, tetracyclines, bacitracin, polymyxins, <e2> lincomycin </e2> , clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	1	NUROMAX	lincomycin
<e1> Netilmicin </e1> should not be administered concomitantly with potent loop diuretics such as <e2> furosemide </e2> and ethacrynic acid as the potential for ototoxicity is enhanced by the combination.	0	Netilmicin	furosemide
Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., <e1> metoprolol </e1> ), and Type 1C antiarrhythmics (e.g., propafenone, <e2> flecainide </e2> ), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.	0	metoprolol	flecainide
These drugs include the thiazides and other <e1> diuretics </e1> , corticosteroids, phenothiazines, thyroid products, estrogens, oral contraceptives, <e2> phenytoin </e2> , nicotinic acid, sympathomimetics, calcium channel blocking drugs, and isoniazid.	0	diuretics	phenytoin
Oral doses of <e1> Antizol </e1> (10-20 mg/kg), via alcohol dehydrogenase inhibition, significantly reduced the rate of elimination of <e2> ethanol </e2> (by approximately 40%) given to healthy volunteers in moderate doses.	1	Antizol	ethanol
Short-term pharmacokinetic studies have demonstrated that concomitant administration of warfarin and Lodine ( <e1> etodolac </e1> capsules and tablets) results in reduced protein binding of <e2> warfarin </e2> , but there was no change in the clearance of free warfarin.	0	etodolac	warfarin
There have been reports of interactions of <e1> erythromycin </e1> with carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, <e2> bromocriptine </e2> , valproate, terfenadine, and astemizole.	0	erythromycin	bromocriptine
Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, <e1> Sporanox </e1> ), atorvastatin (Lipitor), clofibrate (Atromid-S), cyclosporine (Neoral, Sandimmune), HIV drugs classified as protease inhibitors (Agenerase, Crixivan, Fortovase, Invirase, Kaletra, Norvir, Viracept), morphine (Astramorph, Kadian, MS Contin), phenylbutazone, prednisolone (Prelone), rifadin (rifampin), St. Johns wort, temazepam, theophylline ( <e2> Theo-Dur </e2> ), and vitamin C.	0	Sporanox	Theo-Dur
- <e1> Lithium </e1> : Generally should not be given with <e2> diuretics </e2> .	0	Lithium	diuretics
Quinolones, including cinoxacin, may enhance the effects of oral <e1> anticoagulants </e1> , such as <e2> warfarin </e2> or its derivatives.	0	anticoagulants	warfarin
The effects of medicinal products with similar properties such as inotropes milrinone, enoximone, <e1> amrinone </e1> , olprinone and cilostazol may be exacerbated by <e2> anagrelide </e2> .	1	amrinone	anagrelide
Quinidine: Immediate Release Capsules: There have been rare reports of an interaction between <e1> quinidine </e1> and <e2> nifedipine </e2> (with a decreased plasma level of quinidine).	1	quinidine	nifedipine
Drug Interactions: The central anticholinergic syndrome can occur when anticholinergic agents such as AKINETON are administered concomitantly with drugs that have secondary anticholinergic actions, e.g., certain <e1> narcotic analgesics </e1> such as meperidine, the phenothiazines and other antipsychotics, tricyclic antidepressants, certain antiarrhythmics such as the quinidine salts, and <e2> antihistamines </e2> .	0	narcotic analgesics	antihistamines
Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, <e1> Tegretol </e1> , Trileptal, Topamax, Felbatol), antifungals ( <e2> Gris-PEG </e2> , Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromid-S), cyclosporine (Neoral, Sandimmune), HIV drugs classified as protease inhibitors (Agenerase, Crixivan, Fortovase, Invirase, Kaletra, Norvir, Viracept), morphine (Astramorph, Kadian, MS Contin), phenylbutazone, prednisolone (Prelone), rifadin (rifampin), St. Johns wort, temazepam, theophylline (Theo-Dur), and vitamin C.	0	Tegretol	Gris-PEG
In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance ( <e1> efavirenz </e1> , nevirapine, phenytoin, dexamethasone, or carbamazepine) with <e2> CANCIDAS </e2> may result in clinically meaningful reductions in caspofungin concentrations.	1	efavirenz	CANCIDAS
Interactions may also occur with the following: anti-depressants/anti-anxiety drugs, drugs used to treat an overactive thyroid, beta-blockers (e.g., propranolol), <e1> sparfloxacin </e1> , grepafloxacin, <e2> guanethidine </e2> , guanadrel, metrizamide, cabergoline, lithium, narcotic pain medication (e.g., codeine), drugs used to aid sleep, drowsiness-causing antihistamines (e.g., diphenhydramine), any other drugs that may make you drowsy.	0	sparfloxacin	guanethidine
